"","X","CustomerID","Spend","Bills","Visits","Qty","FreeQty","FPD","LPD","ATV","ABS","APP","CUTLERY_spend","CUTLERy_bills","DL_spend","DL_bills","DAILYUSE_spend","DAILYUSE_bills","HOD_spend","HOD_bills","ACC_spend","ACC_bills","FURN_spend","FURN_bills","STATIONARY_spend","STATIONARY_bills","Game_spend","Game_bills","BATH_spend","BATH_bills","UK_geo_purchaser","as.factor(k_P6$cluster)","as.factor(k_P6$cluster)","as.factor(k_P6$cluster)","k_P6$cluster"
"41",115,12489,334.93,1,1,105,0,"2011-01-07","2011-01-07",334.93,105,3.18980952380952,132.3,1,0,0,0,0,47.8,1,33.6,1,30.6,1,27.78,1,26.85,1,0,0,0,"2","1","1",1
"42",117,12491,460.4,1,1,260,0,"2011-11-01","2011-11-01",460.4,260,1.77076923076923,72.55,1,25,1,83.8,1,0,0,91.4,1,0,0,117.35,1,34.3,1,0,0,0,"5","1","1",1
"43",121,12497,1043.1,1,1,1236,0,"2011-09-19","2011-09-19",1043.1,1236,0.843932038834951,0,0,0,0,309.6,1,120,1,198,1,0,0,325.5,1,0,0,0,0,0,"5","6","6",6
"44",124,12501,2169.39,1,1,1783,0,"2011-01-07","2011-01-07",2169.39,1783,1.21670779584969,761.71,1,97.5,1,317.2,1,155.74,1,157.24,1,30,1,468.2,1,37.8,1,0,0,0,"2","3","3",3
"45",127,12506,73.5,1,1,23,0,"2011-04-21","2011-04-21",73.5,23,3.19565217391304,47.55,1,0,0,2.8,1,8.3,1,0,0,0,0,14.85,1,0,0,0,0,0,"6","6","6",6
"46",130,12509,176.5,1,1,55,0,"2011-02-28","2011-02-28",176.5,55,3.20909090909091,49.5,1,0,0,34,1,0,0,75,1,0,0,0,0,0,0,0,0,0,"4","6","6",6
"47",132,12512,138.03,2,1,99,0,"2011-10-04","2011-10-04",69.015,49,1.39424242424242,23.1,1,5.9,1,24.25,2,39.92,1,15.3,1,4.55,1,22.51,1,2.5,1,0,0,0,"3","5","5",5
"48",133,12513,612.29,1,1,462,0,"2011-08-19","2011-08-19",612.29,462,1.32530303030303,189.19,1,75,1,20.4,1,22.5,1,169.4,1,0,0,81.8,1,0,0,0,0,0,"6","1","1",1
"49",134,12514,1017.68,1,1,440,0,"2011-03-17","2011-03-17",1017.68,440,2.31290909090909,166.5,1,0,0,146.1,1,300.78,1,191.7,1,22.5,1,118.7,1,71.4,1,0,0,0,"5","1","1",1
"50",135,12515,383.7,1,1,131,0,"2010-12-21","2010-12-21",383.7,131,2.92900763358779,216.6,1,17.4,1,9,1,35.7,1,0,0,0,0,0,0,0,0,0,0,0,"6","6","6",6
"51",139,12519,340.84,1,1,183,0,"2011-10-07","2011-10-07",340.84,183,1.86251366120219,152.4,1,73.6,1,0,0,17.34,1,17.7,1,0,0,25.8,1,0,0,0,0,0,"6","6","6",6
"52",141,12521,599.68,1,1,309,0,"2011-07-20","2011-07-20",599.68,309,1.94071197411003,107.59,1,0,0,0,0,141,1,167.7,1,114.39,1,0,0,15,1,0,0,0,"2","3","3",3
"53",149,12531,125.22,1,1,45,0,"2011-11-25","2011-11-25",125.22,45,2.78266666666667,6.25,1,34.01,1,0,0,20.75,1,46.96,1,0,0,17.25,1,0,0,0,0,0,"6","6","6",6
"54",150,12532,349.83,1,1,153,0,"2011-11-09","2011-11-09",349.83,153,2.28647058823529,0,0,27.6,1,0,0,118.71,1,25.2,1,67.5,1,74.82,1,0,0,0,0,0,"2","3","3",3
"55",151,12534,1089.18,1,1,651,0,"2011-08-01","2011-08-01",1089.18,651,1.67308755760369,131.16,1,205.65,1,66.9,1,215.55,1,98.92,1,115.2,1,147.8,1,0,0,0,0,0,"2","3","3",3
"56",154,12538,363.95,1,1,191,0,"2011-11-10","2011-11-10",363.95,191,1.90549738219895,149.45,1,0,0,0,0,77.1,1,82.8,1,0,0,54.6,1,0,0,0,0,0,"6","6","6",6
"57",158,12544,372.7,1,1,136,0,"2011-11-03","2011-11-03",372.7,136,2.74044117647059,50.4,1,0,0,15,1,67.2,1,13.52,1,0,0,150.78,1,19.8,1,0,0,0,"5","1","1",1
"58",162,12548,95.2,1,1,49,0,"2011-06-26","2011-06-26",95.2,49,1.94285714285714,15,1,0,0,0,0,52.2,1,0,0,0,0,0,0,0,0,0,0,0,"4","2","2",2
"59",163,12550,964.83,1,1,569,0,"2011-09-21","2011-09-21",964.83,569,1.69565905096661,141.38,1,62.9,1,202.07,1,193.78,1,136.8,1,0,0,87.9,1,0,0,0,0,0,"6","1","1",1
"60",164,12551,168,1,1,100,0,"2010-12-17","2010-12-17",168,100,1.68,0,0,0,0,0,0,0,0,168,1,0,0,0,0,0,0,0,0,0,"4","2","2",2
"61",169,12558,269.96,1,1,196,0,"2011-12-02","2011-12-02",269.96,196,1.37734693877551,50.4,1,0,0,0,0,95.68,1,53.8,1,0,0,20.16,1,49.92,1,0,0,0,"5","1","1",1
"62",172,12561,238.85,1,1,177,0,"2011-02-10","2011-02-10",238.85,177,1.34943502824859,65.55,1,0,0,86.9,1,44.4,1,0,0,0,0,42,1,0,0,0,0,0,"6","6","6",6
"63",174,12564,456.9,1,1,133,0,"2011-03-23","2011-03-23",456.9,133,3.43533834586466,55.2,1,0,0,230.25,1,33.6,1,33,1,0,0,0,0,50.85,1,0,0,0,"5","1","1",1
"64",175,12565,145.92,1,1,80,0,"2011-02-24","2011-02-24",145.92,80,1.824,94.8,1,17.4,1,17.7,1,5.04,1,10.98,1,0,0,0,0,0,0,0,0,0,"6","6","6",6
"65",176,12566,351.65,1,1,265,0,"2011-09-14","2011-09-14",351.65,265,1.32698113207547,153.57,1,0,0,19.8,1,50.28,1,42.5,1,0,0,31.5,1,0,0,0,0,0,"5","1","1",1
"66",181,12573,160.54,1,1,84,0,"2011-04-26","2011-04-26",160.54,84,1.91119047619048,37.95,1,73.75,1,1.95,1,21.4,1,17.5,1,0,0,7.99,1,0,0,0,0,0,"6","1","1",1
"67",182,12574,218.45,1,1,61,0,"2011-01-28","2011-01-28",218.45,61,3.58114754098361,30,1,0,0,59,1,55,1,0,0,23.6,1,14.85,1,0,0,0,0,0,"6","6","6",6
"68",186,12579,440.42,1,1,285,0,"2011-09-22","2011-09-22",440.42,285,1.54533333333333,121.02,1,0,0,68.4,1,58.5,1,76.5,1,0,0,62,1,0,0,0,0,0,"5","1","1",1
"69",187,12580,415.7,1,1,238,0,"2011-04-07","2011-04-07",415.7,238,1.74663865546218,39.6,1,0,0,70.2,1,0,0,132.3,1,0,0,137.6,1,0,0,0,0,0,"5","6","6",6
"70",188,12581,197.71,1,1,161,0,"2011-10-31","2011-10-31",197.71,161,1.22801242236025,26.2,1,54.96,1,10.2,1,69.95,1,0,0,0,0,18.4,1,0,0,0,0,0,"6","6","6",6
"71",193,12586,196.94,1,1,79,0,"2011-11-22","2011-11-22",196.94,79,2.49291139240506,140.66,1,35.4,1,0,0,0,0,0,0,0,0,20.88,1,0,0,0,0,0,"4","2","2",2
"72",194,12587,144,1,1,51,0,"2011-12-02","2011-12-02",144,51,2.82352941176471,0,0,0,0,0,0,0,0,104,1,0,0,0,0,0,0,0,0,0,"4","2","2",2
"73",195,12588,214.9,1,1,53,0,"2011-10-31","2011-10-31",214.9,53,4.05471698113208,157.9,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","2","2",2
"74",197,12590,9864.26,2,1,4283,0,"2011-05-12","2011-05-12",4932.13,2141,2.30311930889563,2014.7,1,914.16,1,2422.9,1,2053.8,1,1459.9,1,0,0,142.8,1,333,1,0,0,0,"3","5","5",5
"75",198,12591,452.85,1,1,228,0,"2011-01-26","2011-01-26",452.85,228,1.98618421052632,248.7,1,0,0,27.9,1,77.4,1,14.85,1,0,0,0,0,0,0,0,0,0,"6","6","6",6
"76",208,12602,153.12,1,1,162,0,"2011-10-12","2011-10-12",153.12,162,0.945185185185185,0,0,0,0,23.9,1,0,0,0,0,0,0,50.62,1,78.6,1,0,0,0,"4","6","6",6
"77",209,12603,739.2,1,1,63,1,"2011-11-18","2011-11-18",739.2,63,11.7333333333333,613.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","2","2",2
"78",211,12607,1579.51,1,1,1228,0,"2011-10-10","2011-10-10",1579.51,1228,1.28624592833876,593.04,1,135,1,30.8,1,261.56,1,68.8,1,52.2,1,415.61,1,22.5,1,0,0,0,"2","3","3",3
"79",214,12611,1193.32,1,1,846,0,"2011-10-18","2011-10-18",1193.32,846,1.41054373522459,422.85,1,83,1,112.04,1,150.5,1,210.58,1,22.5,1,146.67,1,45.18,1,0,0,0,"2","3","3",3
"80",215,12612,704.04,1,1,262,0,"2011-09-26","2011-09-26",704.04,262,2.68717557251908,0,0,0,0,0,0,30,1,638.04,1,0,0,0,0,0,0,0,0,0,"4","2","2",2
"81",217,12614,315.6,1,1,76,0,"2011-03-07","2011-03-07",315.6,76,4.15263157894737,121.7,1,51,1,29.85,1,88.1,1,0,0,0,0,0,0,24.95,1,0,0,0,"6","6","6",6
"82",220,12617,355.53,1,1,213,0,"2011-11-10","2011-11-10",355.53,213,1.66915492957747,21.75,1,22.5,1,6.25,1,88.32,1,49.11,1,0,0,167.6,1,0,0,0,0,0,"6","1","1",1
"83",221,12618,177.31,1,1,96,0,"2011-11-18","2011-11-18",177.31,96,1.84697916666667,29.7,1,15,1,0,0,36.06,1,17.85,1,0,0,21,1,17.7,1,0,0,0,"5","1","1",1
"84",225,12622,180.1,1,1,69,0,"2011-04-21","2011-04-21",180.1,69,2.61014492753623,27.6,1,10.2,1,15.3,1,25.2,1,20.8,1,25.5,1,37.5,1,0,0,0,0,0,"2","3","3",3
"85",226,12623,305.1,1,1,191,0,"2011-03-08","2011-03-08",305.1,191,1.59738219895288,81.7,1,19.8,1,45.6,1,0,0,96.5,1,15,1,10.5,1,0,0,0,0,0,"2","3","3",3
"86",233,12631,640.5,1,1,236,0,"2011-10-13","2011-10-13",640.5,236,2.71398305084746,213.8,1,19.8,1,63.9,1,67.9,1,27.2,1,87.9,1,0,0,0,0,0,0,0,"2","3","3",3
"87",237,12638,671.69,1,1,577,0,"2011-11-06","2011-11-06",671.69,577,1.16410745233969,84.06,1,174.83,1,15.6,1,68.37,1,44.29,1,30.3,1,52.36,1,41.88,1,0,0,0,"2","3","3",3
"88",238,12639,486.1,1,1,201,0,"2011-04-15","2011-04-15",486.1,201,2.418407960199,187.95,1,30,1,15,1,45.85,1,49.5,1,0,0,37.8,1,0,0,0,0,0,"6","1","1",1
"89",240,12641,185.9,1,1,72,0,"2011-08-16","2011-08-16",185.9,72,2.58194444444444,88.25,1,0,0,0,0,0,0,42.35,1,15.3,1,0,0,0,0,0,0,0,"4","2","2",2
"90",243,12644,477.91,1,1,325,0,"2011-08-02","2011-08-02",477.91,325,1.47049230769231,288.48,1,40.2,1,50.84,1,75.65,1,0,0,0,0,22.74,1,0,0,0,0,0,"6","6","6",6
"91",247,12648,318.05,1,1,160,0,"2011-07-08","2011-07-08",318.05,160,1.9878125,198.1,1,0,0,0,0,34.05,1,6.8,1,0,0,16.35,1,44.75,1,0,0,0,"5","1","1",1
"92",249,12650,314.44,1,1,254,0,"2011-12-06","2011-12-06",314.44,254,1.23795275590551,33.3,1,0,0,94.8,1,0,0,29.68,1,30.3,1,54.36,1,0,0,0,0,0,"6","6","6",6
"93",250,12651,114,1,1,78,0,"2011-01-09","2011-01-09",114,78,1.46153846153846,37.65,1,0,0,27.9,1,17.85,1,0,0,15,1,15.6,1,0,0,0,0,0,"6","6","6",6
"94",251,12652,919.98,1,1,505,0,"2011-01-12","2011-01-12",919.98,505,1.82174257425743,273.02,1,19.8,1,86.1,1,310.88,1,63.5,1,0,0,40.68,1,0,0,0,0,0,"6","1","1",1
"95",256,12658,686.05,1,1,320,0,"2011-11-21","2011-11-21",686.05,320,2.14390625,104.9,1,12.6,1,32,1,253.41,1,0,0,0,0,229.14,1,0,0,0,0,0,"6","6","6",6
"96",257,12659,91.68,1,1,105,0,"2011-11-10","2011-11-10",91.68,105,0.873142857142857,0,0,0,0,0,0,58.08,1,0,0,0,0,15.6,1,0,0,0,0,0,"4","2","2",2
"97",258,12660,245.1,1,1,127,0,"2011-11-28","2011-11-28",245.1,127,1.92992125984252,79.8,1,0,0,17.85,1,15.3,1,37.65,1,0,0,58.8,1,17.7,1,0,0,0,"5","1","1",1
"98",261,12665,63,1,1,37,0,"2011-01-19","2011-01-19",63,37,1.7027027027027,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","2","2",2
"99",262,12667,620.13,1,1,395,0,"2011-10-12","2011-10-12",620.13,395,1.56994936708861,264.87,1,27.9,1,17.4,1,118.56,1,0,0,24.44,1,6.96,1,0,0,0,0,0,"2","3","3",3
"100",266,12672,225.9,1,1,78,0,"2011-01-14","2011-01-14",225.9,78,2.89615384615385,39.9,1,0,0,0,0,151.2,1,34.8,1,0,0,0,0,0,0,0,0,0,"4","6","6",6
"101",278,12686,89.14,1,1,107,0,"2010-12-03","2010-12-03",89.14,107,0.833084112149533,20.16,1,0,0,0,0,27.48,1,8.5,1,0,0,0,0,15,1,0,0,0,"6","6","6",6
"102",279,12688,4873.81,1,1,3028,0,"2011-08-18","2011-08-18",4873.81,3028,1.60958058124174,1941.92,1,108,1,279.17,1,681.08,1,822.55,1,465.09,1,510.3,1,65.7,1,0,0,0,"2","3","3",3
"103",281,12690,389.01,1,1,106,0,"2011-05-18","2011-05-18",389.01,106,3.66990566037736,100,1,82.26,1,50,1,15,1,61.25,1,26.5,1,0,0,0,0,0,0,0,"2","3","3",3
"104",289,12702,219,1,1,53,0,"2011-11-20","2011-11-20",219,53,4.13207547169811,17,1,0,0,158.8,1,0,0,25.2,1,0,0,0,0,0,0,0,0,0,"4","6","6",6
"105",290,12703,283.55,1,1,164,0,"2011-09-29","2011-09-29",283.55,164,1.72896341463415,111.4,1,10.2,1,26.7,1,58.75,1,21,1,0,0,37.5,1,0,0,0,0,0,"6","1","1",1
"106",293,12707,603.42,1,1,256,0,"2011-02-21","2011-02-21",603.42,256,2.357109375,178.35,1,17.4,1,63.25,1,311.6,1,0,0,0,0,32.82,1,0,0,0,0,0,"6","6","6",6
"107",298,12713,848.55,1,1,508,0,"2011-12-09","2011-12-09",848.55,508,1.67037401574803,219,1,109.8,1,112.14,1,104.31,1,29.3,1,0,0,180.9,1,39.1,1,0,0,0,"5","1","1",1
"108",300,12715,353.86,1,1,197,0,"2011-08-25","2011-08-25",353.86,197,1.79624365482234,10.2,1,37.2,1,6.96,1,21,1,177.5,1,0,0,0,0,21,1,0,0,0,"5","1","1",1
"109",303,12718,238.25,1,1,203,0,"2011-09-29","2011-09-29",238.25,203,1.17364532019704,70.04,1,15,1,9.36,1,52.65,1,0,0,0,0,55.2,1,0,0,0,0,0,"6","6","6",6
"110",310,12725,427.8,1,1,164,0,"2010-12-03","2010-12-03",427.8,164,2.60853658536585,29.4,1,297.85,1,29.55,1,15,1,0,0,0,0,0,0,0,0,0,0,0,"6","6","6",6
"111",314,12729,453.01,1,1,233,0,"2011-08-18","2011-08-18",453.01,233,1.94424892703863,120.25,1,0,0,16.5,1,0,0,75.4,1,0,0,115.36,1,89.5,1,0,0,0,"5","1","1",1
"112",316,12732,236.26,1,1,111,0,"2011-06-13","2011-06-13",236.26,111,2.12846846846847,178.26,1,0,0,0,0,0,0,0,0,0,0,40,1,0,0,0,0,0,"4","2","2",2
"113",317,12733,383.95,1,1,137,0,"2011-04-19","2011-04-19",383.95,137,2.80255474452555,219.35,1,0,0,24.75,1,99.4,1,0,0,0,0,40.45,1,0,0,0,0,0,"6","6","6",6
"114",318,12734,110.4,1,1,88,0,"2010-12-22","2010-12-22",110.4,88,1.25454545454545,93.6,1,0,0,0,0,16.8,1,0,0,0,0,0,0,0,0,0,0,0,"4","2","2",2
"115",320,12736,234,1,1,173,0,"2011-01-11","2011-01-11",234,173,1.35260115606936,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4","2","2",2
"116",321,12738,155.35,1,1,148,0,"2010-12-02","2010-12-02",155.35,148,1.04966216216216,117.55,1,0,0,0,0,0,0,0,0,0,0,19.8,1,0,0,0,0,0,"4","2","2",2
"117",323,12740,427.6,1,1,342,0,"2011-10-07","2011-10-07",427.6,342,1.25029239766082,195.2,1,0,0,54,1,51.6,1,19.8,1,15.3,1,91.7,1,0,0,0,0,0,"6","1","1",1
"118",324,12743,546.43,2,1,319,0,"2011-07-28","2011-07-28",273.215,159,1.71294670846395,132.6,2,85.64,2,61.49,2,96.55,2,60.38,2,16.25,2,91.44,2,2.08,1,0,0,0,"3","5","5",5
"119",329,12750,275.88,1,1,137,0,"2011-08-03","2011-08-03",275.88,137,2.01372262773723,83.8,1,0,0,39.5,1,121.08,1,0,0,0,0,31.5,1,0,0,0,0,0,"6","6","6",6
"120",330,12752,4366.78,1,1,2262,0,"2011-09-19","2011-09-19",4366.78,2262,1.93049513704686,1962.6,1,519.6,1,262.32,1,580.94,1,683.72,1,0,0,357.6,1,0,0,0,0,0,"5","1","1",1
"121",334,12756,112.08,1,1,144,0,"2011-09-14","2011-09-14",112.08,144,0.778333333333333,0,0,0,0,0,0,10.08,1,102,1,0,0,0,0,0,0,0,0,0,"4","2","2",2
"122",340,12764,1693.88,1,1,386,0,"2011-01-27","2011-01-27",1693.88,386,4.38829015544042,624.5,1,0,0,116.7,1,575.68,1,109.55,1,141.8,1,89.95,1,35.7,1,0,0,0,"5","1","1",1
"123",342,12769,1143.6,1,1,356,0,"2011-04-15","2011-04-15",1143.6,356,3.2123595505618,429.3,1,0,0,70.2,1,475.44,1,33,1,81.36,1,54.3,1,0,0,0,0,0,"6","1","1",1
"124",343,12770,1351.45,1,1,743,0,"2011-05-13","2011-05-13",1351.45,743,1.81890982503365,0,0,0,0,372.36,1,0,0,420,1,0,0,71.04,1,488.05,1,0,0,0,"5","1","1",1
"125",344,12772,892.47,1,1,556,0,"2011-10-11","2011-10-11",892.47,556,1.6051618705036,265.4,1,83.1,1,39.9,1,220.27,1,48.8,1,0,0,95,1,0,0,0,0,0,"6","1","1",1
"126",352,12785,311.95,1,1,131,0,"2010-12-10","2010-12-10",311.95,131,2.38129770992366,16.95,1,0,0,0,0,12.5,1,189,1,0,0,37.5,1,0,0,0,0,0,"6","6","6",6
"127",354,12789,91.85,1,1,4,0,"2011-10-05","2011-10-05",91.85,4,22.9625,19.95,1,0,0,0,0,16.95,1,39.95,1,0,0,0,0,0,0,0,0,0,"4","6","6",6
"128",355,12790,324.92,1,1,166,0,"2011-05-31","2011-05-31",324.92,166,1.95734939759036,150.96,1,0,0,19.9,1,66.1,1,0,0,0,0,20.16,1,37.8,1,0,0,0,"5","1","1",1
